;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;IMPUESTO ESPECÍFICO AL JUEGO ($);;;;;;;;;;;;;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Oct;Nov;Dic;Total ($);Total (US$);;;
;Casino Sol Calama; 172.337.717 ; 155.642.923 ; 174.451.045 ; 181.793.134 ; 196.334.356 ; 188.354.236 ; 196.547.885 ; 201.901.364 ; 179.727.727 ; 184.340.703 ; 191.469.160 ;; 2.022.900.250 ; 4.151.862 ;;;
;Enjoy Antofagasta; 370.111.334 ; 353.992.924 ; 408.479.583 ; 391.500.897 ; 407.688.503 ; 396.238.391 ; 404.887.769 ; 404.066.709 ; 397.627.093 ; 380.142.545 ; 364.889.852 ;; 4.279.625.600 ; 8.783.614 ;;;
;Antay Casino & Hotel; 148.435.249 ; 132.181.385 ; 166.222.307 ; 152.195.110 ; 163.517.258 ; 152.049.153 ; 157.635.582 ; 164.545.328 ; 153.137.775 ; 147.350.797 ; 141.938.381 ;; 1.679.208.325 ; 3.446.154 ;;;
;Casino de Juegos del Pacífico; 102.406.868 ; 100.152.002 ; 73.043.648 ; 72.866.607 ; 69.128.137 ; 66.478.975 ; 80.518.600 ; 69.908.884 ; 86.204.656 ; 73.472.660 ; 77.893.039 ;; 872.074.076 ; 1.790.391 ;;;
;Casino Rinconada; 433.064.315 ; 409.755.588 ; 504.021.587 ; 494.959.127 ; 549.421.527 ; 486.853.295 ; 579.899.337 ; 576.877.246 ; 520.614.978 ; 606.597.150 ; 601.332.358 ;; 5.763.396.508 ; 11.841.417 ;;;
;Monticello Grand Casino; 1.097.452.068 ; 910.041.024 ; 1.052.584.373 ; 1.049.581.470 ; 1.057.242.498 ; 1.097.714.225 ; 1.141.906.586 ; 1.213.057.276 ; 1.113.209.889 ; 1.387.786.004 ; 1.120.711.492 ;; 12.241.286.905 ; 25.143.573 ;;;
;Casino de Colchagua; 89.411.422 ; 86.968.118 ; 82.381.590 ; 84.541.847 ; 87.844.713 ; 81.672.710 ; 71.465.794 ; 78.717.399 ; 87.732.495 ; 71.801.339 ; 75.913.616 ;; 898.451.043 ; 1.843.543 ;;;
;Gran Casino de Talca; 130.842.466 ; 120.338.718 ; 143.283.433 ; 132.730.981 ; 140.691.100 ; 147.688.138 ; 154.858.695 ; 151.762.041 ; 148.039.295 ; 145.970.435 ; 141.919.000 ;; 1.558.124.302 ; 3.198.715 ;;;
;Termas de Chillán; 5.100.935 ; 6.757.645 ; 2.485.933 ; 4.509.146 ; 2.219.816 ; 4.178.116 ; 6.488.454 ; 5.769.706 ; 4.726.279 ; 2.855.991 ; 2.575.293 ;; 47.667.314 ; 97.841 ;;;
;Marina del Sol; 447.667.573 ; 415.142.365 ; 465.566.361 ; 462.485.743 ; 494.333.093 ; 471.191.517 ; 494.043.025 ; 515.981.823 ; 482.287.329 ; 512.737.844 ; 433.232.545 ;; 5.194.669.218 ; 10.664.825 ;;;
