;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;INGRESOS BRUTOS DEL JUEGO O WIN ($);;;;;;;;;;;;;;;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total ($);Total (US$);;;;;
;Casino Sol Calama; 1.035.767.085 ; 935.429.689 ; 1.048.468.403 ; 1.092.595.098 ; 1.179.989.308 ; 1.132.027.981 ; 1.181.272.641 ; 1.213.447.594 ; 1.081.164.672 ; 1.108.914.349 ; 1.151.796.080 ;; 12.160.872.900 ; 24.959.479 ;;;;;
;Enjoy Antofagasta; 2.202.162.439 ; 2.106.257.899 ; 2.430.453.521 ; 2.329.430.339 ; 2.450.249.085 ; 2.381.432.756 ; 2.433.416.389 ; 2.428.481.737 ; 2.392.195.352 ; 2.287.005.198 ; 2.195.242.286 ;; 25.636.327.001 ; 52.617.424 ;;;;;
;Antay Casino & Hotel; 903.056.986 ; 804.171.002 ; 1.011.270.680 ; 973.826.114 ; 1.046.271.302 ; 972.892.205 ; 1.008.637.781 ; 1.052.849.448 ; 979.857.794 ; 942.829.598 ; 913.799.360 ;; 10.609.462.270 ; 21.774.674 ;;;;;
;Casino de Juegos del Pacífico; 609.320.866 ; 595.904.409 ; 434.609.706 ; 433.556.311 ; 411.312.413 ; 395.549.903 ; 479.085.670 ; 415.957.862 ; 512.917.703 ; 437.162.325 ; 463.463.580 ;; 5.188.840.748 ; 10.652.826 ;;;;;
;Casino Rinconada; 2.576.732.673 ; 2.438.045.749 ; 2.998.928.440 ; 2.945.006.808 ; 3.269.058.088 ; 2.896.777.107 ; 3.450.401.055 ; 3.432.419.611 ; 3.097.659.119 ; 3.609.253.045 ; 3.577.927.532 ;; 34.292.209.227 ; 70.456.429 ;;;;;
;Monticello Grand Casino; 6.529.839.805 ; 5.414.744.090 ; 6.262.877.018 ; 6.245.009.749 ; 6.290.592.866 ; 6.531.399.640 ; 6.794.344.184 ; 7.217.690.792 ; 6.623.598.842 ; 8.257.326.721 ; 6.668.233.379 ;; 72.835.657.086 ; 149.604.259 ;;;;;
;Casino de Colchagua; 531.997.959 ; 517.460.300 ; 490.170.462 ; 503.023.990 ; 522.676.044 ; 485.952.627 ; 425.221.475 ; 468.368.523 ; 522.008.345 ; 427.217.966 ; 451.686.016 ;; 5.345.783.707 ; 10.969.080 ;;;;;
;Gran Casino de Talca; 778.512.672 ; 716.015.373 ; 852.536.424 ; 789.749.337 ; 837.112.044 ; 878.744.420 ; 921.409.238 ; 902.984.145 ; 880.833.807 ; 868.524.086 ; 844.418.050 ;; 9.270.839.596 ; 19.032.352 ;;;;;
