OFERTA DE JUEGOS POR CATEGORIA,  EN LOS CASINOS EN OPERACIÓN - Noviembre 2012;;;;;;
Casinos de Juego;Comuna;N° de Mesas;;;N° de Máquinas de Azar;N° de Posiciones de Bingo
;;Ruleta;Cartas;Dados;;
Casino Sol Calama; Calama ;6;14;1;440;136
Enjoy Antofagasta; Antofagasta ;10;29;2;763;248
Antay Casino & Hotel; Copiapó ;5;10;1;338;179
Casino de Juegos del Pacífico; San Antonio ;7;10;1;322;148
Casino Rinconada; Rinconada ;12;42;1;1.424;100
Monticello Grand Casino; Mostazal ;30;53;1;1.694;300
Casino de Colchagua; Santa Cruz ;5;13;2;230;60
Gran Casino de Talca; Talca ;4;12;1;459;30
Termas de Chillán; Pinto ;3;10;1;100;80
Marina del Sol; Talcahuano ;15;34;1;1.335;168
Casino Gran Los Angeles; Los Angeles ;4;5;1;200;40
Dreams Temuco; Temuco ;7;26;3;595;312
Dreams Valdivia; Valdivia ;5;15;2;381;200
Casino Sol Osorno; Osorno ;6;14;1;313;60
Enjoy Chiloé; Castro ;7;11;1;230;72
Dreams Coyhaique; Coyhaique ;4;6;1;150;38
Dreams Punta Arenas; Punta Arenas ;5;13;2;398;150
 Total ;;135;317;23;9.372;2.321
Al 30-11-2012;;;;;;
