;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
NUMERO DE MAQUINAS DE AZAR POR FABRICANTE Y PROCEDENCIA - Noviembre 2012;;;;;;;;;;;;;;;;;
Casinos;ANSWORTH;ARISTOCRAT;ARUZE;SPIELO;BALLY;Elektroncek;GOLDCLUB;ID Interactive;IGT;KONAMI;MERKUR;Multimedia Games;NOVOMATIC;UNDESA;WMS;Total por Casino;
;Australia;Australia-USA;USA-Australia;Alemania-USA;USA;Slovenia;Slovenia;USA;USA;USA-Japón;Alemania;USA;Austria;España;USA;;
Casino Sol Calama;; 6 ;; 80 ; 128 ;;;; 72 ; 52 ;;; 24 ;; 78 ; 440 ;4,7%
Enjoy Antofagasta;; 52 ;; 164 ; 147 ;;;; 134 ; 62 ;;; 8 ;; 196 ; 763 ;8,1%
Antay Casino & Hotel; 10 ; 20 ;; 44 ; 58 ;; 16 ;; 50 ; 38 ;;; 28 ; 18 ; 56 ; 338 ;3,6%
Casino de Juegos del Pacífico;; 16 ;; 76 ; 104 ;;;;; 12 ;;;;; 114 ; 322 ;3,4%
Casino Rinconada; 50 ; 122 ;; 150 ; 348 ;;;; 318 ; 186 ;;; 26 ;; 224 ; 1.424 ;15,2%
Monticello Grand Casino;; 197 ; 10 ; 77 ; 156 ;;;; 347 ; 36 ;;; 626 ;; 245 ; 1.694 ;18,1%
Casino de Colchagua;; 62 ;; 44 ; 46 ;;;; 20 ;;;;;; 58 ; 230 ;2,5%
Gran Casino de Talca;;;; 279 ; 60 ;;;;;; 20 ;; 50 ;; 50 ; 459 ;4,9%
Termas de Chillán;;;; 52 ; 48 ;;;;;;;;;;; 100 ;1,1%
Marina del Sol;; 164 ;; 170 ; 267 ; 10 ;;; 280 ; 108 ;; 10 ; 14 ;; 312 ; 1.335 ;14,2%
Casino Gran Los Angeles;;;; 56 ; 44 ;;;;;;;; 50 ;; 50 ; 200 ;2,1%
Dreams Temuco;; 144 ;; 168 ; 72 ;;; 9 ; 92 ;;;; 12 ;; 98 ; 595 ;6,3%
Dreams Valdivia;; 84 ;; 84 ; 57 ;;; 12 ; 68 ;;;; 12 ;; 64 ; 381 ;4,1%
Casino Sol Osorno;;;; 80 ; 95 ;;;; 74 ;;;;;; 64 ; 313 ;3,3%
Enjoy Chiloé;; 22 ;; 56 ; 46 ;;;; 38 ; 34 ;;; 10 ;; 24 ; 230 ;2,5%
Dreams Coyhaique;; 20 ;; 42 ; 20 ;;;; 24 ;;;; 24 ;; 20 ; 150 ;1,6%
Dreams Punta Arenas;; 81 ;; 98 ; 81 ;;;; 56 ; 12 ;;; 24 ;; 46 ; 398 ;4,2%
Total por Fabricante; 60 ; 990 ; 10 ; 1.720 ; 1.777 ; 10 ; 16 ; 21 ; 1.573 ; 540 ; 20 ; 10 ; 908 ; 18 ; 1.699 ; 9.372 ;100%
% Participación;0,6%;10,6%;0,1%;18,4%;19,0%;0,1%;0,2%;0,2%;16,8%;5,8%;0,2%;0,1%;9,7%;0,2%;18,1%;100%;
Al 30-11-2012;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
