;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NÚMERO DE VISITAS ;;;;;;;;;;;;;;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Oct;Nov;Dic;Total;;;;;
;Casino Sol Calama; 24.107 ; 26.209 ; 23.810 ; 24.947 ; 27.343 ; 25.087 ; 25.331 ; 24.214 ; 24.033 ; 24.016 ; 23.487 ;; 272.584 ;;;;;
;Enjoy Antofagasta; 54.686 ; 52.495 ; 56.216 ; 51.917 ; 56.675 ; 56.127 ; 58.078 ; 55.937 ; 54.677 ; 55.402 ; 49.919 ;; 602.129 ;;;;;
;Antay Casino & Hotel; 23.019 ; 20.665 ; 23.901 ; 23.651 ; 23.572 ; 22.915 ; 24.235 ; 23.569 ; 22.921 ; 20.451 ; 20.844 ;; 249.743 ;;;;;
;Casino de Juegos del Pacífico; 28.212 ; 34.518 ; 18.855 ; 17.927 ; 15.620 ; 14.968 ; 21.417 ; 16.171 ; 19.821 ; 16.100 ; 17.484 ;; 221.093 ;;;;;
;Casino Rinconada; 48.444 ; 46.794 ; 49.464 ; 49.842 ; 55.253 ; 56.231 ; 63.427 ; 59.438 ; 54.271 ; 54.979 ; 50.420 ;; 588.563 ;;;;;
;Monticello Grand Casino; 104.770 ; 96.154 ; 95.392 ; 91.914 ; 93.174 ; 98.337 ; 113.251 ; 99.860 ; 97.702 ; 93.293 ; 86.366 ;; 1.070.213 ;;;;;
;Casino de Colchagua; 14.956 ; 15.989 ; 13.183 ; 12.820 ; 14.818 ; 13.950 ; 14.986 ; 12.915 ; 15.406 ; 11.230 ; 13.511 ;; 153.764 ;;;;;
;Gran Casino de Talca; 28.677 ; 28.196 ; 25.376 ; 25.457 ; 27.640 ; 28.688 ; 30.556 ; 31.190 ; 28.796 ; 25.153 ; 24.775 ;; 304.504 ;;;;;
;Termas de Chillán; 831 ; 1.418 ; 511 ; 635 ; 484 ; 691 ; 2.382 ; 1.436 ; 1.475 ; 667 ; 1.064 ;; 11.594 ;;;;;
;Marina del Sol; 81.120 ; 77.577 ; 78.767 ; 79.243 ; 87.751 ; 86.454 ; 103.707 ; 95.613 ; 94.997 ; 93.570 ; 85.582 ;; 964.381 ;;;;;
;Casino Gran Los Angeles; 14.350 ; 17.253 ; 14.470 ; 14.273 ; 15.143 ; 15.045 ; 16.873 ; 16.076 ; 16.541 ; 14.329 ; 13.380 ;; 167.733 ;;;;;
;Dreams Temuco; 53.744 ; 53.041 ; 53.153 ; 51.981 ; 55.472 ; 54.343 ; 60.138 ; 60.460 ; 60.838 ; 59.964 ; 52.049 ;; 615.183 ;;;;;
;Dreams Valdivia; 33.548 ; 41.105 ; 32.143 ; 30.702 ; 30.126 ; 30.834 ; 32.368 ; 29.843 ; 31.271 ; 28.465 ; 28.369 ;; 348.774 ;;;;;
;Casino Sol Osorno; 23.692 ; 26.679 ; 23.415 ; 23.827 ; 21.410 ; 17.997 ; 21.539 ; 20.802 ; 21.439 ; 18.933 ; 18.138 ;; 237.871 ;;;;;
;Enjoy Chiloé; - ; - ; - ; - ; 12.775 ; 11.730 ; 13.157 ; 12.838 ; 13.787 ; 10.597 ; 10.512 ;; 85.396 ;;;;;
;Dreams Coyhaique; - ; - ; - ; 7.720 ; 15.529 ; 13.119 ; 15.432 ; 14.770 ; 13.462 ; 12.465 ; 12.451 ;; 104.948 ;;;;;
;Dreams Punta Arenas; 38.640 ; 34.983 ; 21.713 ; 33.906 ; 35.000 ; 33.175 ; 39.664 ; 37.417 ; 39.367 ; 37.944 ; 37.245 ;; 389.054 ;;;;;
; Total ; 572.796 ; 573.076 ; 530.369 ; 540.762 ; 587.785 ; 579.691 ; 656.541 ; 612.549 ; 610.804 ; 577.558 ; 545.596 ; -   ; 6.387.527 ;;;;;
;;;;;;;;;;;;;;;;;;;
;IMPUESTO POR ENTRADAS ($);;;;;;;;;;;;;;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Oct;Nov;Dic;Total ($);Total (US$);;;;
;Casino Sol Calama; 66.044.984 ; 72.234.887 ; 65.687.980 ; 69.100.695 ; 75.888.582 ; 69.697.456 ; 70.375.344 ; 67.070.359 ; 66.569.007 ; 66.654.727 ; 65.707.701 ;; 755.031.722 ; 1.549.383 ;;;;
;Enjoy Antofagasta; 149.821.047 ; 144.681.994 ; 155.090.949 ; 143.804.898 ; 157.297.495 ; 155.933.715 ; 161.354.042 ; 154.939.896 ; 151.449.822 ; 153.764.373 ; 139.654.393 ;; 1.667.792.624 ; 3.422.629 ;;;;
;Antay Casino & Hotel; 63.064.234 ; 56.955.013 ; 65.939.035 ; 65.510.905 ; 65.422.436 ; 63.663.140 ; 67.330.404 ; 65.283.773 ; 63.488.878 ; 56.760.319 ; 58.313.591 ;; 691.731.728 ; 1.419.255 ;;;;
;Casino de Juegos del Pacífico; 77.291.288 ; 95.135.405 ; 52.017.928 ; 49.655.997 ; 43.352.217 ; 41.584.547 ; 59.501.352 ; 44.792.053 ; 54.902.188 ; 44.684.423 ; 48.913.588 ;; 611.830.986 ; 1.256.002 ;;;;
;Casino Rinconada; 132.720.089 ; 128.969.411 ; 136.463.262 ; 138.057.356 ; 153.350.834 ; 156.222.651 ; 176.214.794 ; 164.637.316 ; 150.325.243 ; 152.590.366 ; 141.056.000 ;; 1.630.607.322 ; 3.346.765 ;;;;
;Monticello Grand Casino; 287.034.178 ; 265.011.001 ; 263.171.265 ; 254.592.589 ; 258.597.915 ; 273.202.804 ; 314.637.326 ; 276.602.214 ; 270.624.770 ; 258.928.191 ; 241.619.249 ;; 2.964.021.502 ; 6.081.418 ;;;;
;Casino de Colchagua; 40.974.355 ; 44.067.443 ; 36.369.788 ; 35.510.118 ; 41.126.322 ; 38.756.309 ; 41.634.555 ; 35.773.259 ; 42.673.079 ; 31.168.079 ; 37.798.644 ;; 425.851.951 ; 873.704 ;;;;
;Gran Casino de Talca; 78.565.230 ; 77.711.278 ; 70.008.324 ; 70.513.344 ; 76.712.885 ; 79.701.862 ; 84.891.596 ; 86.393.181 ; 79.762.040 ; 69.810.391 ; 69.311.036 ;; 843.381.167 ; 1.730.577 ;;;;
;Termas de Chillán; 2.276.657 ; 3.908.164 ; 1.409.767 ; 1.758.887 ; 1.343.308 ; 1.919.757 ; 6.617.744 ; 3.977.576 ; 4.085.603 ; 1.851.212 ; 2.976.668 ;; 32.125.343 ; 66.093 ;;;;
;Marina del Sol; 222.241.219 ; 213.810.745 ; 217.305.550 ; 219.495.186 ; 243.546.758 ; 240.189.096 ; 288.121.899 ; 264.838.449 ; 263.132.190 ; 259.696.985 ; 239.425.915 ;; 2.671.803.992 ; 5.486.483 ;;;;
;Casino Gran Los Angeles; 39.314.121 ; 47.551.166 ; 39.920.415 ; 39.534.783 ; 42.028.336 ; 41.798.470 ; 46.877.075 ; 44.528.912 ; 45.816.916 ; 39.769.136 ; 37.432.156 ;; 464.571.486 ; 953.866 ;;;;
;Dreams Temuco; 147.240.287 ; 146.186.831 ; 146.640.623 ; 143.982.172 ; 153.958.653 ; 150.977.353 ; 167.077.196 ; 167.468.154 ; 168.515.176 ; 166.425.885 ; 145.613.323 ;; 1.704.085.653 ; 3.499.689 ;;;;
;Dreams Valdivia; 91.910.114 ; 113.289.902 ; 88.677.394 ; 85.041.470 ; 83.612.604 ; 85.663.944 ; 89.925.749 ; 82.662.126 ; 86.617.543 ; 79.002.615 ; 79.365.682 ;; 965.769.143 ; 1.982.284 ;;;;
;Casino Sol Osorno; 64.908.025 ; 73.530.259 ; 64.598.239 ; 65.998.407 ; 59.421.956 ; 49.999.805 ; 59.840.296 ; 57.619.460 ; 59.383.886 ; 52.547.216 ; 50.743.232 ;; 658.590.781 ; 1.352.086 ;;;;
;Enjoy Chiloé; - ; - ; - ; - ; 35.456.118 ; 32.588.638 ; 36.553.172 ; 35.560.079 ; 38.188.611 ; 29.411.232 ; 29.408.581 ;; 237.166.431 ; 487.484 ;;;;
;Dreams Coyhaique; - ; - ; - ; 21.383.628 ; 43.099.652 ; 36.447.599 ; 42.873.645 ; 40.911.423 ; 37.288.394 ; 34.595.735 ; 34.833.167 ;; 291.433.243 ; 598.765 ;;;;
;Dreams Punta Arenas; 105.860.462 ; 96.416.996 ; 59.902.693 ; 93.916.229 ; 97.140.050 ; 92.167.780 ; 110.195.715 ; 103.641.348 ; 109.042.653 ; 105.310.916 ; 104.197.357 ;; 1.077.792.199 ; 2.213.174 ;;;;
; Total ; 1.569.266.290 ; 1.579.460.495 ; 1.463.203.212 ; 1.497.856.664 ; 1.631.356.121 ; 1.610.514.926 ; 1.824.021.904 ; 1.696.699.578 ; 1.691.865.999 ; 1.602.971.800 ; 1.526.370.283 ; -   ; 17.693.587.272 ; 36.319.659 ;;;;
; Total US$ ; 3.130.144 ; 3.280.360 ; 3.014.428 ; 3.082.010 ; 3.281.812 ; 3.185.165 ; 3.707.889 ; 3.527.515 ; 3.562.048 ; 3.372.122 ; 3.176.166 ;; 36.319.659 ;;;;;
; Dólar promedio observado ; 501,34 ; 481,49 ; 485,40 ; 486,00 ; 497,09 ; 505,63 ; 491,93 ; 480,99 ; 474,97 ; 475,36 ; 480,57 ; -   ;;;;;;
;;;;;;;;;;;;;;;;;;;
;GASTO PROMEDIO POR VISITA ($);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gasto Promedio Año 2012;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Oct;Nov;Dic;($);(US$);;;;
;Casino Sol Calama; 42.965 ; 35.691 ; 44.035 ; 43.797 ; 43.155 ; 45.124 ; 46.633 ; 50.113 ; 44.987 ; 46.174 ; 49.040 ;; 44.613 ; 91,6 ;;;;
